company,industry,change,year,rank,rq
Robinhood,Tech,-6,2022,73,71.8
Dollar Tree,Retail,0,2022,74,70.9
Grubhub Inc.,Food Delivery,NA,2022,75,70.9
Big Lots,Retail,NA,2022,76,70.8
Walmart,Retail,-6,2022,77,70.7
Shein,Retail,NA,2022,78,70.6
Bank of America,Financial Services,2,2022,79,70.5
Goldman Sachs,Financial Services,NA,2022,80,70.4
Burger King,Food & Beverage,-3,2022,81,70.3
Spectrum,Telecom,71,2022,82,70.3
eBay,Ecommerce,17,2022,83,69.8
Subway,Food & Beverage,NA,2022,84,69.6
Comcast,Media,-7,2022,85,69.5
McDonald's,Food & Beverage,13,2022,86,69.3
JCPenney,Retail,-2,2022,87,68.6
ExxonMobil,Energy,8,2022,88,68.1
BP,Energy,4,2022,89,68
My Pillow,Ecommerce,-1,2022,90,67.6
Uber,Tech,1,2022,91,67.3
Wells Fargo & Company,Financial Services,-3,2022,92,67.1
Sears Holdings Corporation,Retail,-3,2022,93,64.2
TikTok,Tech,0,2022,94,63.7
Spirit Airlines,Airline,NA,2022,95,63.3
Fox Corporation,Media,-3,2022,96,62.3
Facebook,Tech,-1,2022,97,60.9
Twitter,Tech,5,2022,98,60.3
Wish.com,Ecommerce,2,2022,99,60.1
The Trump Organization,Other,0,2022,100,54.5
Shein,Retail,NA,NA,NA,NA
